S#,Country,Daily Oil Consumption (Barrels),World Share,Yearly Liters Per Capita,Yearly Gallons Per Capita,Price Per Liter (GBP),Price Per Liter (USD),GDP Per Capita (GBP),GDP Per Capita ( USD ),Gallons GDP Per Capita Can Buy,xTimes Yearly Gallons Per Capita Buy
15,United Kingdom,"1,583,896",2%,"1,664.7",366.2,1.93 ,$2.22,"35,778.75","$41,125.00",4908,13
1,United States,"19,687,287",20%,"4,247.3",934.3,1.19 ,$1.37,"55,170.18","$63,414.00",12218,13
94,Uruguay,"53,000",0%,"1,078.8",237.3,1.76 ,$2.02,"13,431.06","$15,438.00",2021,9
99,Uzbekistan,"49,000",0%,108.6,23.9,0.78 ,$0.90,"1,466.82","$1,686.00",497,21
170,Vanuatu,"1,100",0%,275.5,60.6,1.13 ,$1.30,"2,421.21","$2,783.00",566,9
31,Venezuela,"598,000",1%,"1,396.1",307.1,0.02 ,$0.02,"13,968.72","$16,056.00",200700,654
34,Vietnam,"478,000",1%,356.0,78.3,1.24 ,$1.42,"2,423.82","$2,786.00",518,7
91,Yemen,"60,000",0%,154.1,33.9,0.45 ,$0.52,716.88,$824.00,420,12
139,Zambia,"22,000",0%,93.6,20.6,1.29 ,$1.48,914.37,"$1,051.00",188,9
120,Zimbabwe,"24,000",0%,119.1,26.2,1.41 ,$1.62,981.36,"$1,128.00",184,7
